OPO 7  { pos: [ 30,153] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 35,121] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 95] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 29,153] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 36,121] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 96] | dir: RIGHT | fi: 0 }
OPO 5  { pos: [ 37,121] | dir: DOWN  | fi: 0 }
OPO 7  { pos: [ 28,153] | dir: UP    | fi: 0 }
USER   { pos: [  8, 97] | dir: RIGHT | fi: 0 }
OPO 7  { pos: [ 27,153] | dir: UP    | fi: 0 }
OPO 5  { pos: [ 38,121] | dir: DOWN  | fi: 0 }
USER   { pos: [  8, 98] | dir: RIGHT | fi: 0 }
